,Date,Demand(MW),Forecast(MW)
0,04/2/2018 15H,2813.0,2872.0
1,04/2/2018 14H,2659.0,2811.0
2,04/2/2018 13H,2379.0,2637.0
3,04/2/2018 12H,2212.0,2366.0
4,04/2/2018 11H,2152.0,2211.0
5,04/2/2018 10H,2172.0,2170.0
6,04/2/2018 09H,2236.0,2188.0
7,04/2/2018 08H,2342.0,2275.0
8,04/2/2018 07H,2500.0,2417.0
9,04/2/2018 06H,2715.0,2625.0
10,04/2/2018 05H,2961.0,2813.0
11,04/2/2018 04H,3045.0,2975.0
12,04/2/2018 03H,2976.0,3006.0
13,04/2/2018 02H,2722.0,2805.0
14,04/2/2018 01H,2548.0,2567.0
15,04/2/2018 00H,2509.0,2387.0
16,04/1/2018 23H,2485.0,2334.0
17,04/1/2018 22H,2457.0,2302.0
18,04/1/2018 21H,2403.0,2302.0
19,04/1/2018 20H,2382.0,2282.0
20,04/1/2018 19H,2365.0,2297.0
21,04/1/2018 18H,2356.0,2297.0
22,04/1/2018 17H,2330.0,2262.0
23,04/1/2018 16H,2250.0,2247.0
24,04/1/2018 15H,2185.0,2220.0
25,04/1/2018 14H,2200.0,2221.0
26,04/1/2018 13H,2155.0,2218.0
27,04/1/2018 12H,2124.0,2135.0
28,04/1/2018 11H,2137.0,2124.0
29,04/1/2018 10H,2195.0,2147.0
30,04/1/2018 09H,2283.0,2210.0
31,04/1/2018 08H,2410.0,2306.0
32,04/1/2018 07H,2585.0,2336.0
33,04/1/2018 06H,2787.0,2542.0
34,04/1/2018 05H,2995.0,2755.0
35,04/1/2018 04H,3126.0,2937.0
36,04/1/2018 03H,3139.0,3013.0
37,04/1/2018 02H,2937.0,3113.0
38,04/1/2018 01H,2836.0,3135.0
39,04/1/2018 00H,2795.0,2993.0
40,03/31/2018 23H,2788.0,2804.0
41,03/31/2018 22H,2719.0,2703.0
42,03/31/2018 21H,2673.0,2634.0
43,03/31/2018 20H,2677.0,2614.0
44,03/31/2018 19H,2653.0,2674.0
45,03/31/2018 18H,2609.0,2681.0
46,03/31/2018 17H,2524.0,2671.0
47,03/31/2018 16H,2415.0,2645.0
48,03/31/2018 15H,2295.0,2577.0
49,03/31/2018 14H,2282.0,2451.0
50,03/31/2018 13H,2214.0,2432.0
51,03/31/2018 12H,2156.0,2335.0
52,03/31/2018 11H,2170.0,2256.0
53,03/31/2018 10H,2229.0,2289.0
54,03/31/2018 09H,2330.0,2349.0
55,03/31/2018 08H,2483.0,2456.0
56,03/31/2018 07H,2736.0,2543.0
57,03/31/2018 06H,2941.0,2719.0
58,03/31/2018 05H,3114.0,2929.0
59,03/31/2018 04H,3288.0,3102.0
60,03/31/2018 03H,3335.0,3208.0
61,03/31/2018 02H,3191.0,3074.0
62,03/31/2018 01H,3214.0,2976.0
63,03/31/2018 00H,3220.0,2899.0
64,03/30/2018 23H,3214.0,2882.0
65,03/30/2018 22H,3167.0,2887.0
66,03/30/2018 21H,3105.0,2902.0
67,03/30/2018 20H,3059.0,2883.0
68,03/30/2018 19H,3027.0,2900.0
69,03/30/2018 18H,2949.0,2894.0
70,03/30/2018 17H,2861.0,2902.0
71,03/30/2018 16H,2780.0,2902.0
72,03/30/2018 15H,2717.0,2893.0
73,03/30/2018 14H,2616.0,2883.0
74,03/30/2018 13H,2405.0,2659.0
75,03/30/2018 12H,2247.0,2394.0
76,03/30/2018 11H,2213.0,2328.0
77,03/30/2018 10H,2258.0,2304.0
78,03/30/2018 09H,2366.0,2361.0
79,03/30/2018 08H,2492.0,2455.0
80,03/30/2018 07H,2725.0,2551.0
81,03/30/2018 06H,2960.0,2778.0
82,03/30/2018 05H,3205.0,3041.0
83,03/30/2018 04H,3382.0,3261.0
84,03/30/2018 03H,3388.0,3381.0
85,03/30/2018 02H,3255.0,3288.0
86,03/30/2018 01H,3213.0,3060.0
87,03/30/2018 00H,3216.0,2959.0
88,03/29/2018 23H,3203.0,2929.0
89,03/29/2018 22H,3170.0,2915.0
90,03/29/2018 21H,3116.0,2907.0
91,03/29/2018 20H,3070.0,2864.0
92,03/29/2018 19H,3051.0,2895.0
93,03/29/2018 18H,3012.0,2934.0
94,03/29/2018 17H,2947.0,2962.0
95,03/29/2018 16H,2883.0,2967.0
96,03/29/2018 15H,2837.0,2991.0
97,03/29/2018 14H,2731.0,3006.0
98,03/29/2018 13H,2474.0,2758.0
99,03/29/2018 12H,2264.0,2476.0
100,03/29/2018 11H,2235.0,2323.0
101,03/29/2018 10H,2279.0,2279.0
102,03/29/2018 09H,2365.0,2314.0
103,03/29/2018 08H,2480.0,2401.0
104,03/29/2018 07H,2744.0,2555.0
105,03/29/2018 06H,2964.0,2782.0
106,03/29/2018 05H,3214.0,3046.0
107,03/29/2018 04H,3398.0,3264.0
108,03/29/2018 03H,3392.0,3383.0
109,03/29/2018 02H,3247.0,3291.0
110,03/29/2018 01H,3203.0,3062.0
111,03/29/2018 00H,3174.0,2959.0
112,03/28/2018 23H,3166.0,2930.0
113,03/28/2018 22H,3144.0,2917.0
114,03/28/2018 21H,3101.0,2910.0
115,03/28/2018 20H,3060.0,2866.0
116,03/28/2018 19H,3040.0,2897.0
117,03/28/2018 18H,3014.0,2936.0
118,03/28/2018 17H,2975.0,2964.0
119,03/28/2018 16H,2930.0,2970.0
120,03/28/2018 15H,2911.0,2995.0
121,03/28/2018 14H,2789.0,3011.0
122,03/28/2018 13H,2529.0,2762.0
123,03/28/2018 12H,2330.0,2480.0
124,03/28/2018 11H,2277.0,2327.0
125,03/28/2018 10H,2314.0,2283.0
126,03/28/2018 09H,2391.0,2320.0
127,03/28/2018 08H,2547.0,2410.0
128,03/28/2018 07H,2762.0,2634.0
129,03/28/2018 06H,2987.0,2821.0
130,03/28/2018 05H,3189.0,3027.0
131,03/28/2018 04H,3319.0,3239.0
132,03/28/2018 03H,3318.0,3324.0
133,03/28/2018 02H,3185.0,3448.0
134,03/28/2018 01H,3197.0,3430.0
135,03/28/2018 00H,3123.0,3262.0
136,03/27/2018 23H,3089.0,3043.0
137,03/27/2018 22H,3041.0,3039.0
138,03/27/2018 21H,3013.0,3031.0
139,03/27/2018 20H,2994.0,3018.0
140,03/27/2018 19H,3014.0,3011.0
141,03/27/2018 18H,3013.0,3010.0
142,03/27/2018 17H,2998.0,3010.0
143,03/27/2018 16H,3033.0,2972.0
144,03/27/2018 15H,2982.0,2894.0
145,03/27/2018 14H,2831.0,2836.0
146,03/27/2018 13H,2595.0,2685.0
147,03/27/2018 12H,2409.0,2447.0
148,03/27/2018 11H,2357.0,2294.0
149,03/27/2018 10H,2390.0,2282.0
150,03/27/2018 09H,2461.0,2345.0
151,03/27/2018 08H,2571.0,2426.0
152,03/27/2018 07H,2763.0,2611.0
153,03/27/2018 06H,2992.0,2838.0
154,03/27/2018 05H,3225.0,3053.0
155,03/27/2018 04H,3371.0,3290.0
156,03/27/2018 03H,3298.0,3372.0
157,03/27/2018 02H,3114.0,3264.0
158,03/27/2018 01H,3004.0,3028.0
159,03/27/2018 00H,2979.0,2916.0
160,03/26/2018 23H,2965.0,2901.0
161,03/26/2018 22H,2948.0,2881.0
162,03/26/2018 21H,2945.0,2864.0
163,03/26/2018 20H,2955.0,2853.0
164,03/26/2018 19H,2975.0,2873.0
165,03/26/2018 18H,2989.0,2879.0
166,03/26/2018 17H,2995.0,2891.0
167,03/26/2018 16H,2998.0,2889.0
168,03/26/2018 15H,3000.0,2902.0
169,03/26/2018 14H,2843.0,2902.0
170,03/26/2018 13H,2574.0,2626.0
171,03/26/2018 12H,2335.0,2411.0
172,03/26/2018 11H,2263.0,2267.0
173,03/26/2018 10H,2276.0,2244.0
174,03/26/2018 09H,2337.0,2341.0
175,03/26/2018 08H,2440.0,2431.0
176,03/26/2018 07H,2630.0,2575.0
177,03/26/2018 06H,2835.0,2728.0
178,03/26/2018 05H,3026.0,2924.0
179,03/26/2018 04H,3109.0,3085.0
180,03/26/2018 03H,3037.0,3151.0
181,03/26/2018 02H,2742.0,3138.0
182,03/26/2018 01H,2544.0,3091.0
183,03/26/2018 00H,2459.0,2795.0
184,03/25/2018 23H,2434.0,2613.0
185,03/25/2018 22H,2422.0,2526.0
186,03/25/2018 21H,2409.0,2473.0
187,03/25/2018 20H,2417.0,2478.0
188,03/25/2018 19H,2417.0,2454.0
189,03/25/2018 18H,2392.0,2464.0
190,03/25/2018 17H,2366.0,2449.0
191,03/25/2018 16H,2318.0,2443.0
192,03/25/2018 15H,2306.0,2432.0
