,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-01,68.0,68.0,66.9,70.0,69.1,70.0,72.0,75.0,73.9,73.9,77.0,82.0,84.0,81.0,80.1,78.1,77.0,77.0,73.9,72.0,69.1,69.1,69.1,69.1
2015-07-02,69.1,70.0,69.1,69.1,70.0,69.1,71.1,71.1,71.1,72.0,77.0,82.0,82.0,82.9,79.0,82.0,79.0,75.0,73.9,70.0,68.0,66.9,66.0,66.0
2015-07-03,64.9,64.0,64.0,64.9,64.9,64.0,64.0,66.9,71.1,73.0,77.0,78.1,80.1,78.1,75.0,75.0,73.9,71.1,70.0,66.9,64.9,64.9,64.9,64.0
2015-07-04,63.0,63.0,63.0,64.0,64.0,64.9,64.9,66.0,68.0,71.1,73.0,78.1,78.1,75.9,75.0,73.9,73.9,69.1,66.0,64.0,64.9,63.0,64.0,0
2015-07-05,64.0,64.9,64.9,66.0,66.0,66.0,66.0,66.9,66.9,68.0,69.1,72.0,73.9,75.0,75.0,73.0,71.1,69.1,68.0,66.9,66.0,66.0,66.0,66.0
2015-07-06,66.0,66.0,64.9,64.9,64.9,64.9,64.9,66.0,66.0,66.0,68.0,69.1,73.0,73.0,73.0,73.0,71.1,70.0,66.9,66.0,64.9,64.9,64.9,64.9
2015-07-07,64.9,66.0,66.0,66.0,66.0,66.0,66.9,66.0,66.9,66.9,68.0,70.0,75.0,75.0,73.9,73.9,72.0,71.1,70.0,68.0,66.9,66.0,66.0,66.9
2015-07-08,66.9,66.9,66.9,66.9,66.9,66.9,68.0,68.0,69.1,70.0,70.0,71.1,71.1,72.0,71.1,72.0,73.0,73.0,71.1,68.0,66.9,68.0,66.9,66.9
2015-07-09,66.9,66.0,64.9,64.9,64.0,64.0,64.9,66.0,66.9,69.1,72.0,73.0,73.9,73.9,73.9,75.0,73.9,73.0,72.0,69.1,66.9,66.0,66.0,64.9
2015-07-10,64.9,64.0,63.0,63.0,63.0,62.1,63.0,68.0,70.0,73.0,73.0,73.0,73.9,73.9,73.9,73.0,73.0,72.0,70.0,68.0,66.9,66.0,64.9,64.9
2015-07-11,64.0,64.0,64.0,64.0,63.0,63.0,64.9,66.9,69.1,73.9,73.9,78.1,75.9,75.0,73.9,75.0,75.0,75.0,72.0,69.1,68.0,66.9,66.9,66.0
2015-07-12,66.0,66.0,64.9,64.9,64.0,63.0,64.9,69.1,73.0,75.0,80.1,80.1,78.1,78.1,78.1,78.1,77.0,75.0,73.0,72.0,70.0,69.1,69.1,68.0
2015-07-13,66.9,68.0,66.9,66.0,64.9,64.9,68.0,71.1,73.9,77.0,80.1,82.0,80.1,82.0,80.1,79.0,78.1,77.0,75.0,71.1,69.1,68.0,68.0,66.9
2015-07-14,66.9,66.0,64.9,64.9,64.0,64.0,66.0,66.9,70.0,75.0,77.0,79.0,82.0,81.0,78.1,77.0,77.0,75.0,73.0,71.1,68.0,66.9,66.9,66.9
2015-07-15,66.9,66.9,68.0,66.9,66.0,66.9,66.9,68.0,69.1,72.0,75.9,80.1,79.0,77.0,78.1,77.0,75.9,73.9,73.9,70.0,69.1,66.9,66.0,64.9
2015-07-16,64.9,66.0,66.0,66.9,66.9,66.9,68.0,69.1,70.0,75.0,79.0,79.0,79.0,77.0,75.0,75.0,73.9,73.0,72.0,69.1,66.9,66.0,66.0,64.9
2015-07-17,64.9,64.0,63.0,63.0,64.0,64.0,64.0,64.9,69.1,73.0,75.9,78.1,80.1,80.1,78.1,78.1,75.9,75.9,73.9,70.0,68.0,66.9,66.9,66.0
2015-07-18,66.0,64.9,64.9,64.9,64.9,64.9,66.9,68.0,72.0,70.0,77.0,84.9,86.0,75.9,71.1,66.9,68.0,69.1,68.0,69.1,70.0,71.1,72.0,72.0
2015-07-19,73.0,75.9,73.9,73.0,73.0,73.0,78.1,84.0,87.1,90.0,90.0,89.1,86.0,86.0,87.1,84.9,79.0,75.9,75.9,75.9,77.0,77.0,75.9,0
2015-07-20,75.0,75.9,75.9,75.9,75.0,75.0,75.9,77.0,78.1,79.0,81.0,82.0,82.0,82.9,82.9,82.9,82.0,82.0,78.1,75.0,73.0,72.0,72.0,71.1
2015-07-21,71.1,71.1,71.1,71.1,71.1,71.1,71.1,72.0,72.0,73.0,73.9,75.0,75.9,79.0,79.0,79.0,78.1,77.0,73.9,73.0,72.0,72.0,72.0,72.0
